sentence_id,annotation_type,annotation_text,start_token,end_token,alignment_status,is_training_safe,candidate_span,reason
28,opinion,itna time nhi h,4,7,exact,True,itna time nhi h,Matched via exact strategy
28,aspect,ideal,10,10,exact,True,ideal,Matched via exact strategy
28,opinion,busy h,12,13,exact,True,busy h,Matched via exact strategy
28,aspect,insta,20,20,exact,True,insta,Matched via exact strategy
28,opinion,rone ke layk nhi chodhte,22,26,exact,True,rone ke layk nhi chodhte,Matched via exact strategy
29,aspect,kam,13,13,exact,True,kam,Matched via exact strategy
29,opinion,lag jao kam par,11,14,exact,True,lag jao kam par,Matched via exact strategy
29,aspect,tweet,24,24,exact,True,tweet,Matched via exact strategy
29,opinion,please tweet karte raho,23,26,exact,True,please tweet karte raho,Matched via exact strategy
29,aspect,hastagag,30,30,exact,True,hastagag,Matched via exact strategy
29,opinion,use 2 hastagag fansdemandsaakks2,28,31,exact,True,use 2 hastagag fansdemandsaakks2,Matched via exact strategy
30,aspect,obc reservation scam,12,14,exact,True,obc reservation scam,Matched via exact strategy
30,opinion,ko bhi to dekhiye,15,18,exact,True,ko bhi to dekhiye,Matched via exact strategy
30,aspect,5844obc seats,43,44,exact,True,5844obc seats,Matched via exact strategy
30,opinion,ncbc ayog se vo win kiye h,50,53,approximate,False,h vo win kiye,Matched via approximate strategy
31,aspect,apne log,7,8,exact,True,apne log,Matched via exact strategy
31,opinion,achay lagtay hain,9,11,exact,True,achay lagtay hain,Matched via exact strategy
32,aspect,desh,4,4,exact,True,desh,Matched via exact strategy
32,opinion,support karo,6,7,exact,True,support karo,Matched via exact strategy
32,aspect,offline business,11,12,exact,True,offline business,Matched via exact strategy
32,opinion,support karo,6,7,exact,True,support karo,Matched via exact strategy
32,aspect,insan,19,19,exact,True,insan,Matched via exact strategy
32,opinion,achcha,18,18,exact,True,achcha,Matched via exact strategy
33,aspect,orange shirt wale,2,4,exact,True,orange shirt wale,Matched via exact strategy
33,opinion,mulle jab kaate jayenge kaha,6,10,exact,True,mulle jab kaate jayenge kaha,Matched via exact strategy
33,aspect,delhi,22,22,exact,True,delhi,Matched via exact strategy
33,opinion,bharosa nahi hai,24,26,exact,True,bharosa nahi hai,Matched via exact strategy
34,aspect,joke,1,1,exact,True,joke,Matched via exact strategy
34,opinion,mast joke mara re,0,3,exact,True,mast joke mara re,Matched via exact strategy
34,aspect,buddhi,7,7,exact,True,buddhi,Matched via exact strategy
34,opinion,alag alag bana ke de rakhi h,8,14,exact,True,alag alag bana ke de rakhi h,Matched via exact strategy
34,aspect,privileged log,17,18,exact,True,privileged log,Matched via exact strategy
34,opinion,rote h khilouno ke liye,19,23,exact,True,rote h khilouno ke liye,Matched via exact strategy
34,aspect,garib ke bache,24,26,exact,True,garib ke bache,Matched via exact strategy
34,opinion,kuch bhi utha ke khilaouna bana lete h apne liye,27,36,exact,True,kuch bhi utha ke khilaouna bana lete h apne liye,Matched via exact strategy
35,aspect,ring,7,7,exact,True,ring,Matched via exact strategy
35,opinion,apne pass rakha,9,11,exact,True,apne pass rakha,Matched via exact strategy
35,aspect,tumhe,13,13,exact,True,tumhe,Matched via exact strategy
35,opinion,save rakhna chata hoon tumhe protect karna chata hoon,17,25,exact,True,save rakhna chata hoon tumhe protect karna chata hoon,Matched via exact strategy
35,aspect,ipzn2,28,28,exact,True,ipzn2,Matched via exact strategy
35,opinion,we want,26,27,exact,True,we want,Matched via exact strategy
36,aspect,midemil,11,11,exact,True,midemil,Matched via exact strategy
36,opinion,puri tarah fail h,12,15,exact,True,puri tarah fail h,Matched via exact strategy
36,aspect,teacher,4,4,exact,True,teacher,Matched via exact strategy
36,opinion,sara rasan teacher le jate h,18,23,exact,True,sara rasan teacher le jate h,Matched via exact strategy
36,aspect,yojna,36,36,exact,True,yojna,Matched via exact strategy
36,opinion,koi alag yojna bnao,34,37,exact,True,koi alag yojna bnao,Matched via exact strategy
37,aspect,view,4,4,exact,True,view,Matched via exact strategy
37,opinion,jarur shahar karo,5,7,exact,True,jarur shahar karo,Matched via exact strategy
37,aspect,justicefortraders,12,12,exact,True,justicefortraders,Matched via exact strategy
37,opinion,join in karke,9,11,exact,True,join in karke,Matched via exact strategy
38,aspect,pitaji,7,7,exact,True,pitaji,Matched via exact strategy
38,opinion,rashtrwadi hai,8,9,exact,True,rashtrwadi hai,Matched via exact strategy
38,aspect,hindusthan,11,11,exact,True,hindusthan,Matched via exact strategy
38,opinion,bachane k liye yudh kr rhe hai,16,22,exact,True,bachane k liye yudh kr rhe hai,Matched via exact strategy
38,aspect,sanatan sanskriti,13,14,exact,True,sanatan sanskriti,Matched via exact strategy
38,opinion,bachane k liye yudh kr rhe hai,16,22,exact,True,bachane k liye yudh kr rhe hai,Matched via exact strategy
39,aspect,homosexual people,1,2,exact,True,homosexual people,Matched via exact strategy
39,opinion,not treated well in society,4,8,exact,True,not treated well in society,Matched via exact strategy
40,aspect,desh ke business,2,4,exact,True,desh ke business,Matched via exact strategy
40,opinion,support karti hun,6,8,exact,True,support karti hun,Matched via exact strategy
40,aspect,traders,19,18,normalized,True,,Matched via normalized strategy
40,opinion,justicefortraders,18,18,exact,True,justicefortraders,Matched via exact strategy
41,aspect,ishqi,1,1,exact,True,ishqi,Matched via exact strategy
41,opinion,mere sare dukh apne upar le lie,6,12,exact,True,mere sare dukh apne upar le lie,Matched via exact strategy
41,aspect,ipzn2,15,15,exact,True,ipzn2,Matched via exact strategy
41,opinion,we want,13,14,exact,True,we want,Matched via exact strategy
42,aspect,desh,1,1,exact,True,desh,Matched via exact strategy
42,opinion,pyar karte ho,3,5,exact,True,pyar karte ho,Matched via exact strategy
42,aspect,offline business,7,8,exact,True,offline business,Matched via exact strategy
42,opinion,support karo,9,10,exact,True,support karo,Matched via exact strategy
43,aspect,pani,16,16,exact,True,pani,Matched via exact strategy
43,opinion,badh ka isthiti ho gaya h,18,23,exact,True,badh ka isthiti ho gaya h,Matched via exact strategy
43,aspect,sarkar,39,39,exact,True,sarkar,Matched via exact strategy
43,opinion,moun hai,40,41,exact,True,moun hai,Matched via exact strategy
43,aspect,intjam,43,43,exact,True,intjam,Matched via exact strategy
43,opinion,koi intjam nhi ghor laprvahi,42,46,exact,True,koi intjam nhi ghor laprvahi,Matched via exact strategy
44,aspect,vishal ji,2,3,exact,True,vishal ji,Matched via exact strategy
44,opinion,javelin pe vishal ji ko bithake arshad k pas forever k liye bhejdo,16,28,exact,True,javelin pe vishal ji ko bithake arshad k pas forever k liye bhejdo,Matched via exact strategy
45,aspect,pura pakistan,2,3,exact,True,pura pakistan,Matched via exact strategy
45,opinion,tumhare bap ka nahi hai,4,8,exact,True,tumhare bap ka nahi hai,Matched via exact strategy
45,aspect,pashtun,10,10,exact,True,pashtun,Matched via exact strategy
45,opinion,unke hisseki jameen de,12,15,exact,True,unke hisseki jameen de,Matched via exact strategy
45,aspect,pakistan,3,3,exact,True,pakistan,Matched via exact strategy
45,opinion,apne dalde,21,22,exact,True,apne dalde,Matched via exact strategy
46,aspect,log,3,3,exact,True,log,Matched via exact strategy
46,opinion,hamesha negativity hi spread karte hain,4,9,exact,True,hamesha negativity hi spread karte hain,Matched via exact strategy
46,aspect,aap,10,10,exact,True,aap,Matched via exact strategy
46,opinion,apne aap ko control karein please,11,16,exact,True,apne aap ko control karein please,Matched via exact strategy
47,aspect,girls,5,5,exact,True,girls,Matched via exact strategy
47,opinion,lakh lannat wese girls boys sy maza b to leti hen,2,12,exact,True,lakh lannat wese girls boys sy maza b to leti hen,Matched via exact strategy
48,aspect,mein,0,0,exact,True,mein,Matched via exact strategy
48,opinion,changa,2,2,exact,True,changa,Matched via exact strategy
48,aspect,mera peo,3,4,exact,True,mera peo,Matched via exact strategy
48,opinion,changa,2,2,exact,True,changa,Matched via exact strategy
48,aspect,meri maa,7,8,exact,True,meri maa,Matched via exact strategy
48,opinion,changi,10,10,exact,True,changi,Matched via exact strategy
48,aspect,ristdaar,11,11,exact,True,ristdaar,Matched via exact strategy
48,opinion,baki apko pata hi hain,12,16,exact,True,baki apko pata hi hain,Matched via exact strategy
48,aspect,song,22,22,exact,True,song,Matched via exact strategy
48,opinion,suna hoga apne b,17,20,exact,True,suna hoga apne b,Matched via exact strategy
49,aspect,hindustani kam,4,5,exact,True,hindustani kam,Matched via exact strategy
49,opinion,support karta hai,7,9,exact,True,support karta hai,Matched via exact strategy
49,aspect,traders,12,12,exact,True,traders,Matched via exact strategy
49,opinion,support kar rahe hain,14,17,exact,True,support kar rahe hain,Matched via exact strategy
50,aspect,sabanaqvi,1,1,exact,True,sabanaqvi,Matched via exact strategy
50,opinion,maane na ki hum indian hai,4,9,exact,True,maane na ki hum indian hai,Matched via exact strategy
50,aspect,muslims,21,21,exact,True,muslims,Matched via exact strategy
50,opinion,apne aapko turko ki aulaad bataane se fursat nahi hai,11,20,exact,True,apne aapko turko ki aulaad bataane se fursat nahi hai,Matched via exact strategy
51,aspect,apne log,4,5,exact,True,apne log,Matched via exact strategy
51,opinion,irdgird achay lagtay hain,6,9,exact,True,irdgird achay lagtay hain,Matched via exact strategy
52,aspect,congres,1,1,exact,True,congres,Matched via exact strategy
52,opinion,hindu berodhi h,2,4,exact,True,hindu berodhi h,Matched via exact strategy
52,aspect,nakli gandhi parewar,14,16,exact,True,nakli gandhi parewar,Matched via exact strategy
52,opinion,kabhi apne abba jaan ke abba phiroz khan ki mazar pr gaye h nahi,18,31,exact,True,kabhi apne abba jaan ke abba phiroz khan ki mazar pr gaye h nahi,Matched via exact strategy
53,aspect,mehnat ki kamai,2,4,exact,True,mehnat ki kamai,Matched via exact strategy
53,opinion,wapis karo,5,6,exact,True,wapis karo,Matched via exact strategy
53,aspect,sahara sebi case,20,22,exact,True,sahara sebi case,Matched via exact strategy
53,opinion,3 lakh rupee fusse hue hai,17,19,approximate,False,3 lakh rupee,Matched via approximate strategy
53,aspect,paisa,29,29,exact,True,paisa,Matched via exact strategy
53,opinion,please mera paisa dedo,27,30,exact,True,please mera paisa dedo,Matched via exact strategy
54,aspect,alcohol drinkers,3,4,exact,True,alcohol drinkers,Matched via exact strategy
54,opinion,hamare desh ki shaan hai din mein teen peg lagaiye apne aap dharma ki raksha ho jayegi,7,23,exact,True,hamare desh ki shaan hai din mein teen peg lagaiye apne aap dharma ki raksha ho jayegi,Matched via exact strategy
55,aspect,constitution,8,8,exact,True,constitution,Matched via exact strategy
55,opinion,yahan ka apna,5,7,exact,True,yahan ka apna,Matched via exact strategy
55,aspect,rule regulation,12,13,exact,True,rule regulation,Matched via exact strategy
55,opinion,manya,20,20,exact,True,manya,Matched via exact strategy
56,aspect,justice,2,2,exact,True,justice,Matched via exact strategy
56,opinion,tbi mil payga jb govt inke favour me kuch faisle lega,3,13,exact,True,tbi mil payga jb govt inke favour me kuch faisle lega,Matched via exact strategy
56,aspect,govt,7,7,exact,True,govt,Matched via exact strategy
56,opinion,inke favour me kuch faisle lega,8,13,exact,True,inke favour me kuch faisle lega,Matched via exact strategy
56,aspect,business,17,17,exact,True,business,Matched via exact strategy
56,opinion,profits kama paaayee,19,21,exact,True,profits kama paaayee,Matched via exact strategy
57,aspect,dishul,0,0,exact,True,dishul,Matched via exact strategy
57,opinion,apne name mein he ek brand hai,1,7,exact,True,apne name mein he ek brand hai,Matched via exact strategy
57,aspect,brand,6,6,exact,True,brand,Matched via exact strategy
57,opinion,love purity aur emotions se bana,14,19,exact,True,love purity aur emotions se bana,Matched via exact strategy
58,aspect,nakami,3,3,exact,True,nakami,Matched via exact strategy
58,opinion,nakami wali konsi bat hai,3,7,exact,True,nakami wali konsi bat hai,Matched via exact strategy
58,aspect,intelligent classfellows,24,25,exact,True,intelligent classfellows,Matched via exact strategy
58,opinion,sirf larki hone ki waja se opportunities avail nhi karne din,27,37,exact,True,sirf larki hone ki waja se opportunities avail nhi karne din,Matched via exact strategy
58,aspect,ache log,44,45,exact,True,ache log,Matched via exact strategy
58,opinion,it s your luck ke apko ache log mil gaye,38,47,exact,True,it s your luck ke apko ache log mil gaye,Matched via exact strategy
59,aspect,leader,3,3,exact,True,leader,Matched via exact strategy
59,opinion,abhi bhi apne handle mein cm rakha hua hai,5,13,exact,True,abhi bhi apne handle mein cm rakha hua hai,Matched via exact strategy
59,aspect,pm,1,1,exact,True,pm,Matched via exact strategy
59,opinion,ye to phir pm tha,14,18,exact,True,ye to phir pm tha,Matched via exact strategy
60,aspect,khiladi,3,3,exact,True,khiladi,Matched via exact strategy
60,opinion,naman h ase,0,2,exact,True,naman h ase,Matched via exact strategy
61,aspect,dholak sir,1,2,exact,True,dholak sir,Matched via exact strategy
61,opinion,mandir chhod aata waha pandit apne trike se baja dete,4,13,exact,True,mandir chhod aata waha pandit apne trike se baja dete,Matched via exact strategy
61,aspect,iss dholki wale ko,14,17,exact,True,iss dholki wale ko,Matched via exact strategy
61,opinion,kanpur mai kya kr rhe ho dholakpur chle jaao chhota bheem intezar kar raha hoga aapka,20,35,exact,True,kanpur mai kya kr rhe ho dholakpur chle jaao chhota bheem intezar kar raha hoga aapka,Matched via exact strategy
62,aspect,nyaay,2,2,exact,True,nyaay,Matched via exact strategy
62,opinion,ab nyaay hoga,1,3,exact,True,ab nyaay hoga,Matched via exact strategy
62,aspect,purane b tech walo,6,9,exact,True,purane b tech walo,Matched via exact strategy
62,opinion,galti purane b tech walo ne ki,5,11,exact,True,galti purane b tech walo ne ki,Matched via exact strategy
62,aspect,naye b tech holder,14,17,exact,True,naye b tech holder,Matched via exact strategy
62,opinion,nhi krenge wo ladenge apne haq ke liye,18,25,exact,True,nhi krenge wo ladenge apne haq ke liye,Matched via exact strategy
62,aspect,future aspirants,29,30,exact,True,future aspirants,Matched via exact strategy
62,opinion,ladenge... future aspirants ke liye,29,32,approximate,False,future aspirants ke liye,Matched via approximate strategy
63,aspect,officer,3,3,exact,True,officer,Matched via exact strategy
63,opinion,kaam keray ga woi inauguration karaye ga na,4,11,exact,True,kaam keray ga woi inauguration karaye ga na,Matched via exact strategy
63,aspect,ac,14,14,exact,True,ac,Matched via exact strategy
63,opinion,apne ac ko pochain,13,16,exact,True,apne ac ko pochain,Matched via exact strategy
64,aspect,kashmri pandit,0,1,exact,True,kashmri pandit,Matched via exact strategy
64,opinion,manav hai hi nahi to adhikar kaisa,3,9,exact,True,manav hai hi nahi to adhikar kaisa,Matched via exact strategy
64,aspect,itihas,11,11,exact,True,itihas,Matched via exact strategy
64,opinion,apne itihas ko dekhiye 1975 emergency,10,15,exact,True,apne itihas ko dekhiye 1975 emergency,Matched via exact strategy
65,aspect,physics chemistry maths ke exams,2,6,exact,True,physics chemistry maths ke exams,Matched via exact strategy
65,opinion,lene he the,7,9,exact,True,lene he the,Matched via exact strategy
65,aspect,selective subjects,11,12,exact,True,selective subjects,Matched via exact strategy
65,opinion,time kiun zaya kia gya,14,18,exact,True,time kiun zaya kia gya,Matched via exact strategy
66,aspect,bb movie,3,4,exact,True,bb movie,Matched via exact strategy
66,opinion,aise hi trend karna top 4 trend me apne hi rakhna,6,16,exact,True,aise hi trend karna top 4 trend me apne hi rakhna,Matched via exact strategy
66,aspect,blockbuster express,21,22,exact,True,blockbuster express,Matched via exact strategy
66,opinion,8 years of blockbuster express,18,22,exact,True,8 years of blockbuster express,Matched via exact strategy
67,aspect,tweets,8,8,exact,True,tweets,Matched via exact strategy
67,opinion,thode boht apne ... bhi daal dete,5,11,approximate,False,thode boht apne tweets bhi daal dete,Matched via approximate strategy
68,aspect,ipznians,17,17,exact,True,ipznians,Matched via exact strategy
68,opinion,sabse aage honge,14,16,exact,True,sabse aage honge,Matched via exact strategy
68,aspect,show,29,29,exact,True,show,Matched via exact strategy
68,opinion,waapis laaye,26,27,exact,True,waapis laaye,Matched via exact strategy
68,aspect,ipzn2,33,33,exact,True,ipzn2,Matched via exact strategy
68,opinion,we want,31,32,exact,True,we want,Matched via exact strategy
