sentence_id,sentence,code_switch,all_aspects,all_opinions,valence_scores,arousal_scores
15,view k chakkar or paise ki laalach me india chle gye jawaid bhai apne kafil ko dhoka dekar toh ek hi news bar bar repeat krna inke liye kon c badi baat h bhai,view:EN k:HI chakkar:HI or:EN paise:HI ki:HI laalach:HI me:HI india:EN chle:HI gye:HI jawaid:EN bhai:HI apne:HI kafil:HI ko:HI dhoka:HI dekar:HI toh:HI ek:HI hi:HI news:EN bar:EN bar:EN repeat:EN krna:HI inke:HI liye:HI kon:HI c:EN badi:HI baat:HI h:EN bhai:HI,{jawaid bhai; news},{view k chakkar or paise ki laalach me india chle gye apne kafil ko dhoka dekar; ek hi news bar bar repeat krna inke liye kon c badi baat h},{0.523; 0.200},{0.521; 0.650}
16,sp jo apne party ke bade neta nahi hua oh humara kya hoga,sp:EN jo:HI apne:HI party:EN ke:HI bade:HI neta:HI nahi:HI hua:HI oh:EN humara:HI kya:HI hoga:HI,{neta},{apne party ke bade neta nahi hua oh humara kya hoga},{0.462},{0.738}
17,93 apne hi idol ki bolte please gym jao is pic ke bad,93:EN apne:HI hi:HI idol:EN ki:HI bolte:HI please:EN gym:EN jao:HI is:EN pic:EN ke:HI bad:EN,{idol},{please gym jao is pic ke bad},{0.250},{0.650}
18,jamaat walon par to kejriwal ko fir ki badi jaldi thi ab kal jo hua uska kya apne logon se laraya h jo koi dar h,jamaat:EN walon:HI par:HI to:EN kejriwal:EN ko:HI fir:HI ki:HI badi:HI jaldi:HI thi:HI ab:HI kal:HI jo:HI hua:HI uska:HI kya:HI apne:HI logon:HI se:HI laraya:HI h:EN jo:HI koi:HI dar:HI h:EN,{kejriwal; fir},{apne logon se laraya h; badi jaldi thi},{0.200; 0.250},{0.750; 0.700}
19,malik bhut riyaat ki hai apne wo pmln ko itna gira dainge k vote mangna be mushkil ho jayga ink ly pmln aik trf deal ar dosri trf inkalab dno lollipop aik sth khana chati hai jo mumkin ni,malik:HI bhut:HI riyaat:HI ki:HI hai:HI apne:HI wo:HI pmln:EN ko:HI itna:HI gira:HI dainge:HI k:HI vote:EN mangna:HI be:EN mushkil:HI ho:HI jayga:HI ink:EN ly:HI pmln:EN aik:HI trf:EN deal:EN ar:EN dosri:HI trf:EN inkalab:HI dno:EN lollipop:EN aik:HI sth:EN khana:HI chati:HI hai:HI jo:HI mumkin:HI ni:HI,{pmln; vote mangna},{dno lollipop aik sth khana chati hai jo mumkin ni; mushkil ho jayga},{0.180; 0.200},{0.750; 0.650}
20,raffle pe debets karle dango pe karle apne chamcho pe karle pm care fund pe karl mahangai pe karle ye karke dikha pahle sahi mudde pe karle pahle,raffle:EN pe:HI debets:HI karle:HI dango:EN pe:HI karle:HI apne:HI chamcho:HI pe:HI karle:HI pm:EN care:EN fund:EN pe:HI karl:HI mahangai:HI pe:HI karle:HI ye:HI karke:HI dikha:HI pahle:HI sahi:HI mudde:HI pe:HI karle:HI pahle:HI,{raffle; dango; chamcho; pm care fund; mahangai; sahi mudde},{debets karle; karle; karle; karl; karle; karle pahle},{0.250; 0.200; 0.150; 0.250; 0.200; 0.300},{0.700; 0.700; 0.750; 0.650; 0.700; 0.750}
21,well honey there is no democracy in china even you cant criticize chinese govt like like you are doing with indian govt u are exercising maximum no of freedom in indian demo but can t do in china apne thali main chhed karne bale khud kyon nahi gold le aye,well:EN honey:EN there:EN is:EN no:EN democracy:EN in:EN china:EN even:EN you:EN cant:EN criticize:EN chinese:EN govt:EN like:EN like:EN you:EN are:EN doing:EN with:EN indian:EN govt:EN u:EN are:EN exercising:EN maximum:EN no:EN of:EN freedom:EN in:EN indian:EN demo:EN but:EN can:EN t:EN do:EN in:EN china:EN apne:HI thali:HI main:HI chhed:HI karne:HI bale:EN khud:HI kyon:HI nahi:HI gold:EN le:HI aye:HI,{democracy in china; chinese govt; indian demo; apne thali main chhed karne bale},{there is no democracy; cant criticize; exercising maximum no of freedom; khud kyon nahi gold le aye},{0.355; 0.195; 0.766; 0.150},{0.500; 0.557; 0.620; 0.800}
22,india me talent ki kami nhi bss corruption zero or log apne kaam honestly krne lag jaye,india:EN me:HI talent:EN ki:HI kami:HI nhi:HI bss:EN corruption:EN zero:EN or:EN log:HI apne:HI kaam:HI honestly:EN krne:HI lag:HI jaye:HI,{talent; corruption; kaam},{kami nhi; zero; honestly krne lag jaye},{0.850; 0.650; 0.700},{0.550; 0.600; 0.474}
23,inko kyu justification dena h yeh log hai kon pata nahi apne ap ko kya smjhte hai ha hai voh galat fir bhi humko toh voh jo kare sahi lagta hai deal with it nikkitamboli,inko:HI kyu:HI justification:EN dena:HI h:EN yeh:HI log:HI hai:HI kon:HI pata:HI nahi:HI apne:HI ap:HI ko:HI kya:HI smjhte:HI hai:HI ha:HI hai:HI voh:HI galat:HI fir:HI bhi:HI humko:HI toh:HI voh:HI jo:HI kare:HI sahi:HI lagta:HI hai:HI deal:EN with:EN it:EN nikkitamboli:HI,{yeh log; nikkitamboli},{pata nahi apne ap ko kya smjhte hai; humko toh voh jo kare sahi lagta hai},{0.150; 0.700},{0.800; 0.750}
24,central gov se lekar state gov ke saath 2 hmare samaj ko bhi sports ke prati jagrit hona pdega parents ko bhi apne bacchon ka support amp uske sath hmesha khda rhna padega meri sari gov and logo se haath jodkar prathna hai sport ke prati lagav rakhiye 1 nhi bahut gold ayega promies,central:EN gov:EN se:HI lekar:HI state:EN gov:EN ke:HI saath:HI 2:EN hmare:HI samaj:HI ko:HI bhi:HI sports:EN ke:HI prati:HI jagrit:HI hona:HI pdega:HI parents:EN ko:HI bhi:HI apne:HI bacchon:HI ka:HI support:EN amp:EN uske:HI sath:HI hmesha:HI khda:HI rhna:HI padega:HI meri:HI sari:HI gov:EN and:EN logo:EN se:HI haath:HI jodkar:HI prathna:HI hai:HI sport:EN ke:HI prati:HI lagav:HI rakhiye:HI 1:EN nhi:HI bahut:HI gold:EN ayega:HI promies:HI,{central gov; state gov; samaj; parents; sport},{sports ke prati jagrit hona pdega; sports ke prati jagrit hona pdega; sports ke prati jagrit hona pdega; apne bacchon ka support amp uske sath hmesha khda rhna padega; 1 nhi bahut gold ayega},{0.716; 0.716; 0.716; 0.688; 0.894},{0.617; 0.617; 0.617; 0.516; 0.693}
25,aapne apne kafil ko kyu dhoka diya bhai sab pehle se hi plan tha na india jaakr biwi k sath youtube pr numaaish kr k haram ka paisa kamaana tha halal ki roti to hazam nhi horahi thi right na bhai nvr expected,aapne:HI apne:HI kafil:HI ko:HI kyu:HI dhoka:HI diya:HI bhai:HI sab:HI pehle:HI se:HI hi:HI plan:EN tha:HI na:HI india:EN jaakr:HI biwi:HI k:HI sath:HI youtube:EN pr:EN numaaish:HI kr:EN k:HI haram:HI ka:HI paisa:HI kamaana:HI tha:HI halal:HI ki:HI roti:HI to:EN hazam:HI nhi:HI horahi:HI thi:HI right:EN na:HI bhai:HI nvr:EN expected:EN,{kafil; plan; haram ka paisa; halal ki roti},{dhoka diya; pehle se hi plan tha; numaaish kr k haram ka paisa kamaana tha; hazam nhi horahi thi},{0.120; 0.445; 0.100; 0.140},{0.850; 0.709; 0.880; 0.820}
26,for me asif can be way better player at 4 agr aqal istimal kre inme se ifti sohaib will still do better than asif at 6 pr yeah azam asif hain us position ke bs pr ye sab apne kaha team me hone chaye,for:EN me:HI asif:HI can:EN be:EN way:EN better:EN player:EN at:EN 4:EN agr:HI aqal:HI istimal:HI kre:HI inme:HI se:HI ifti:HI sohaib:HI will:EN still:EN do:EN better:EN than:EN asif:HI at:EN 6:EN pr:EN yeah:EN azam:HI asif:HI hain:HI us:HI position:EN ke:HI bs:EN pr:EN ye:HI sab:HI apne:HI kaha:HI team:EN me:HI hone:HI chaye:HI,{asif; ifti sohaib; azam asif; ye sab},{can be way better player at 4 agr aqal istimal kre; will still do better than asif at 6; hain us position ke bs; apne kaha team me hone chaye},{0.538; 0.655; 0.617; 0.699},{0.492; 0.449; 0.463; 0.463}
27,kiya apne cmt apki wajah se hi mere tl pe aaya tha aur apka ss kyu lu mei lekin aise chacha se rt milti,kiya:HI apne:HI cmt:EN apki:HI wajah:HI se:HI hi:HI mere:HI tl:EN pe:HI aaya:HI tha:HI aur:HI apka:HI ss:EN kyu:HI lu:HI mei:HI lekin:HI aise:HI chacha:HI se:HI rt:EN milti:HI,{cmt; ss; rt},{apki wajah se hi mere tl pe aaya tha; kyu lu mei; aise chacha se milti},{0.557; 0.350; 0.400},{0.454; 0.450; 0.500}
28,sid sidhearts ke pass itna time nhi h hm apne ideal me busy h but hote to itna sa markar insta pr rone ke layk nhi chodhte,sid:EN sidhearts:HI ke:HI pass:EN itna:HI time:EN nhi:HI h:EN hm:HI apne:HI ideal:EN me:HI busy:EN h:EN but:EN hote:HI to:HI itna:HI sa:HI markar:HI insta:EN pr:EN rone:HI ke:HI layk:HI nhi:HI chodhte:HI,{sid sidhearts; ideal; insta},{itna time nhi h; busy h; rone ke layk nhi chodhte},{0.502; 0.526; 0.100},{0.394; 0.475; 0.850}
29,chalo 600k ho gaya ab rat tak 900k pura karna hain lag jao kam par apne saakk ke liye apne sakhi ke liye please tweet karte raho and use 2 hastagag fansdemandsaakks2,chalo:HI 600k:HI ho:HI gaya:HI ab:HI rat:EN tak:HI 900k:HI pura:HI karna:HI hain:HI lag:HI jao:HI kam:HI par:HI apne:HI saakk:HI ke:HI liye:HI apne:HI sakhi:HI ke:HI liye:HI please:EN tweet:EN karte:HI raho:HI and:EN use:EN 2:EN hastagag:HI fansdemandsaakks2:HI,{kam; tweet; hastagag},{lag jao kam par; please tweet karte raho; use 2 hastagag fansdemandsaakks2},{0.569; 0.684; 0.569},{0.587; 0.590; 0.504}
30,soni76885244 aap bjp me h but ye btaiye 69000 teacher vacancy me obc reservation scam ko bhi to dekhiye aap apne related pdadikhariyo k dvara cm sahab ko avgat krane ki krapa kre mera 15 se ruko h or hm ncbc ayog se 5844obc seats jo general ko diii gaiii h vo win kiye h,soni76885244:HI aap:HI bjp:EN me:HI h:EN but:EN ye:HI btaiye:HI 69000:HI teacher:EN vacancy:EN me:HI obc:EN reservation:EN scam:EN ko:HI bhi:HI to:EN dekhiye:HI aap:HI apne:HI related:EN pdadikhariyo:HI k:HI dvara:HI cm:EN sahab:HI ko:HI avgat:HI krane:EN ki:HI krapa:HI kre:HI mera:HI 15:EN se:HI ruko:HI h:EN or:EN hm:HI ncbc:EN ayog:HI se:HI 5844obc:HI seats:EN jo:HI general:EN ko:HI diii:HI gaiii:HI h:EN vo:HI win:EN kiye:HI h:EN,{obc reservation scam; 5844obc seats},{ko bhi to dekhiye; ncbc ayog se vo win kiye h},{0.350; 0.739},{0.575; 0.647}
31,ye bi sahi hai wohi baat hui apne log achay lagtay hain irdgird not all,ye:HI bi:EN sahi:HI hai:HI wohi:HI baat:HI hui:HI apne:HI log:HI achay:HI lagtay:HI hain:HI irdgird:HI not:EN all:EN,{apne log},{achay lagtay hain},{0.650},{0.400}
32,aap log bhi apne desh ko support karo aur india ke offline business ko support karo aur ek achcha insan bano justicefortraders,aap:HI log:HI bhi:HI apne:HI desh:HI ko:HI support:EN karo:HI aur:HI india:EN ke:HI offline:EN business:EN ko:HI support:EN karo:HI aur:HI ek:HI achcha:HI insan:HI bano:HI justicefortraders:HI,{desh; offline business; insan},{support karo; support karo; achcha},{0.816; 0.816; 0.850},{0.561; 0.561; 0.550}
33,jaise he orange shirt wale ne mulle jab kaate jayenge kaha pointed banda apne dost ko lekar waha se nikal pada isko delhi pe bharosa nahi hai,jaise:HI he:HI orange:EN shirt:EN wale:HI ne:HI mulle:EN jab:HI kaate:HI jayenge:HI kaha:HI pointed:EN banda:HI apne:HI dost:HI ko:HI lekar:HI waha:HI se:HI nikal:HI pada:HI isko:HI delhi:EN pe:HI bharosa:HI nahi:HI hai:HI,{orange shirt wale; delhi},{mulle jab kaate jayenge kaha; bharosa nahi hai},{0.242; 0.200},{0.659; 0.550}
34,mast joke mara re jaise bhagwan ne buddhi alag alag bana ke de rakhi h bhai mere privileged log rote h khilouno ke liye garib ke bache kuch bhi utha ke khilaouna bana lete h apne liye,mast:EN joke:EN mara:HI re:HI jaise:HI bhagwan:HI ne:HI buddhi:HI alag:HI alag:HI bana:HI ke:HI de:HI rakhi:HI h:EN bhai:HI mere:HI privileged:EN log:HI rote:HI h:EN khilouno:HI ke:HI liye:HI garib:HI ke:HI bache:HI kuch:HI bhi:HI utha:HI ke:HI khilaouna:HI bana:HI lete:HI h:EN apne:HI liye:HI,{joke; buddhi; privileged log; garib ke bache},{mast joke mara re; alag alag bana ke de rakhi h; rote h khilouno ke liye; kuch bhi utha ke khilaouna bana lete h apne liye},{0.180; 0.300; 0.406; 0.550},{0.750; 0.550; 0.540; 0.450}
35,ahaan to ishqi jaise main tumare iss ring ko apne pass rakha main tumhe bhi apne pass save rakhna chata hoon tumhe protect karna chata hoon we want ipzn2,ahaan:HI to:EN ishqi:HI jaise:HI main:HI tumare:HI iss:HI ring:EN ko:HI apne:HI pass:EN rakha:HI main:HI tumhe:HI bhi:HI apne:HI pass:EN save:EN rakhna:HI chata:HI hoon:HI tumhe:HI protect:EN karna:HI chata:HI hoon:HI we:EN want:EN ipzn2:HI,{ring; tumhe; ipzn2},{apne pass rakha; save rakhna chata hoon tumhe protect karna chata hoon; we want},{0.580; 0.823; 0.726},{0.387; 0.613; 0.713}
36,or wo egg ap teacher log apne ghar le jaye ge midemil puri tarah fail h school me sara rasan teacher le jate h ab boy girl ko khane ko khana purti krte h koi alag yojna bnao sir,or:EN wo:HI egg:EN ap:HI teacher:EN log:HI apne:HI ghar:HI le:HI jaye:HI ge:HI midemil:HI puri:HI tarah:HI fail:EN h:EN school:EN me:HI sara:HI rasan:HI teacher:EN le:HI jate:HI h:EN ab:HI boy:EN girl:EN ko:HI khane:HI ko:HI khana:HI purti:HI krte:HI h:EN koi:HI alag:HI yojna:HI bnao:HI sir:EN,{midemil; teacher; yojna},{puri tarah fail h; sara rasan teacher le jate h; koi alag yojna bnao},{0.129; 0.430; 0.350},{0.664; 0.602; 0.550}
37,aap log bhi apne view jarur shahar karo ko join in karke justicefortraders,aap:HI log:HI bhi:HI apne:HI view:EN jarur:HI shahar:HI karo:HI ko:HI join:EN in:EN karke:HI justicefortraders:HI,{view; justicefortraders},{jarur shahar karo; join in karke},{0.650; 0.714},{0.500; 0.539}
38,kashmir yhi socha or kha hoga mere pitaji rashtrwadi hai apne hindusthan or sanatan sanskriti ko bachane k liye yudh kr rhe hai,kashmir:HI yhi:HI socha:HI or:EN kha:HI hoga:HI mere:HI pitaji:HI rashtrwadi:HI hai:HI apne:HI hindusthan:EN or:EN sanatan:HI sanskriti:HI ko:HI bachane:HI k:HI liye:HI yudh:HI kr:EN rhe:HI hai:HI,{pitaji; hindusthan; sanatan sanskriti},{rashtrwadi hai; bachane k liye yudh kr rhe hai; bachane k liye yudh kr rhe hai},{0.800; 0.750; 0.750},{0.650; 0.750; 0.750}
39,why homosexual people are not treated well in society apne punjab ch yr they are also humans apa nu balanced chromosomes mile ha rabb da shukr kro ghut ghut ke nhi jeena penda me school to leke ajj tk kde kise te ni hassi pta ni rabb ne phla to smatt diti a respect kro,why:EN homosexual:EN people:EN are:EN not:EN treated:EN well:EN in:EN society:EN apne:HI punjab:HI ch:EN yr:EN they:EN are:EN also:EN humans:EN apa:HI nu:EN balanced:EN chromosomes:EN mile:HI ha:HI rabb:EN da:HI shukr:HI kro:HI ghut:HI ghut:HI ke:HI nhi:HI jeena:HI penda:EN me:HI school:EN to:EN leke:HI ajj:HI tk:HI kde:HI kise:HI te:HI ni:HI hassi:HI pta:HI ni:HI rabb:EN ne:HI phla:HI to:EN smatt:HI diti:HI a:EN respect:EN kro:HI,{homosexual people},{not treated well in society},{0.543},{0.534}
40,main apne desh ke business ko support karti hun main chahti hun hamare desh ka business aage bade justicefortraders,main:HI apne:HI desh:HI ke:HI business:EN ko:HI support:EN karti:HI hun:HI main:HI chahti:HI hun:HI hamare:HI desh:HI ka:HI business:EN aage:HI bade:HI justicefortraders:HI,{desh ke business; traders},{support karti hun; justicefortraders},{0.761; 0.750},{0.548; 0.700}
41,bhaiya ishqi help me ishqi ne mere sare dukh apne upar le lie we want ipzn2,bhaiya:HI ishqi:HI help:EN me:EN ishqi:HI ne:HI mere:HI sare:HI dukh:HI apne:HI upar:HI le:HI lie:EN we:EN want:EN ipzn2:HI,{ishqi; ipzn2},{mere sare dukh apne upar le lie; we want},{0.556; 0.726},{0.587; 0.713}
42,apne desh se pyar karte ho to offline business support karo justicefortraders,apne:HI desh:HI se:HI pyar:HI karte:HI ho:HI to:HI offline:EN business:EN support:EN karo:HI justicefortraders:HI,{desh; offline business},{pyar karte ho; support karo},{0.820; 0.780},{0.600; 0.586}
43,ye hai bihar ke gaya me gaya bodhgaya rod pr ishthit pantnagar ke mansarovar colny ka pani se badh ka isthiti ho gaya h log apne gharo me kaid ho chuke hai bahar niklne ka koi jariya nahi or sarkar moun hai koi intjam nhi ghor laprvahi dist,ye:HI hai:HI bihar:HI ke:HI gaya:HI me:HI gaya:HI bodhgaya:HI rod:EN pr:EN ishthit:HI pantnagar:HI ke:HI mansarovar:HI colny:EN ka:HI pani:HI se:HI badh:HI ka:HI isthiti:HI ho:HI gaya:HI h:EN log:HI apne:HI gharo:HI me:HI kaid:HI ho:HI chuke:HI hai:HI bahar:HI niklne:HI ka:HI koi:HI jariya:HI nahi:HI or:EN sarkar:HI moun:HI hai:HI koi:HI intjam:HI nhi:HI ghor:HI laprvahi:HI dist:EN,{pani; sarkar; intjam},{badh ka isthiti ho gaya h; moun hai; koi intjam nhi ghor laprvahi},{0.150; 0.200; 0.100},{0.700; 0.650; 0.800}
44,haye haye vishal ji ko arshad ki bhot yad aari h request to neerajchopra ki apne javelin pe vishal ji ko bithake arshad k pas forever k liye bhejdo lt 3 bhot ehsan rahega deshwasio par aapka,haye:HI haye:HI vishal:HI ji:HI ko:HI arshad:HI ki:HI bhot:HI yad:HI aari:HI h:EN request:EN to:EN neerajchopra:HI ki:HI apne:HI javelin:EN pe:HI vishal:HI ji:HI ko:HI bithake:HI arshad:HI k:HI pas:HI forever:EN k:HI liye:HI bhejdo:HI lt:EN 3:EN bhot:HI ehsan:HI rahega:HI deshwasio:HI par:HI aapka:HI,{vishal ji},{javelin pe vishal ji ko bithake arshad k pas forever k liye bhejdo},{0.150},{0.750}
45,meer shaiq pura pakistan tumhare bap ka nahi hai pehley pashtun ko unke hisseki jameen de aur fir aapne pakistan ko apne dalde,meer:HI shaiq:HI pura:HI pakistan:EN tumhare:HI bap:HI ka:HI nahi:HI hai:HI pehley:HI pashtun:EN ko:HI unke:HI hisseki:HI jameen:HI de:HI aur:HI fir:HI aapne:HI pakistan:EN ko:HI apne:HI dalde:HI,{pura pakistan; pashtun; pakistan},{tumhare bap ka nahi hai; unke hisseki jameen de; apne dalde},{0.100; 0.300; 0.050},{0.850; 0.700; 0.900}
46,sir ignore karein log hamesha negativity hi spread karte hain aap apne aap ko control karein please,sir:HI ignore:EN karein:HI log:HI hamesha:HI negativity:EN hi:HI spread:EN karte:HI hain:HI aap:HI apne:HI aap:HI ko:HI control:EN karein:HI please:EN,{log; aap},{hamesha negativity hi spread karte hain; apne aap ko control karein please},{0.344; 0.661},{0.641; 0.380}
